song,artist
X,21 Savage & Metro Boomin Featuring Future
XXX.,Kendrick Lamar Featuring U2
You Gon' Learn,"Eminem Featuring Royce da 5'9"" & White Gold"
ZEZE,Kodak Black Featuring Travis Scott & Offset
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
Ghostbusters,Ray Parker Jr.
Overpass Graffiti,Ed Sheeran
Somebody's Watching Me,Rockwell
Demon High,Lil Uzi Vert
Rap Freaks,Yung Miami
Eat It,Megan Thee Stallion
WFM,RealestK
Ghost Town,Benson Boone
One Right Now,Post Malone & The Weeknd
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
Escape Plan,Travis Scott
No Love,Summer Walker & SZA
Bitter,Summer Walker & Cardi B
Mafia,Travis Scott
Throw It Away,Summer Walker
Reciprocate,Summer Walker
Toxic,Summer Walker Featuring Lil Durk
Unloyal,Summer Walker & Ari Lennox
Constant Bulls**t,Summer Walker
You Don't Know Me,Summer Walker
Insane,Summer Walker
Circus,Summer Walker
4th Baby Mama,Summer Walker
Switch A N*gga Out,Summer Walker
Closure,Summer Walker
Session 33,Summer Walker
Screwin,Summer Walker & Omarion
Broken Promises,Summer Walker
Dat Right There,"Summer Walker, Pharrell Williams & The Neptunes"
Sad Girlz Luv Money,Amaarae & Moliy Featuring Kali Uchis
Slow Down Summer,Thomas Rhett
Jumpin,NLE Choppa Featuring Polo G
Super Gremlin,Kodak Black
All Too Well (Taylor's Version),Taylor Swift
State Of Grace (Taylor's Version),Taylor Swift
Already Dead,Juice WRLD
I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Chris Stapleton
Red (Taylor's Version),Taylor Swift
Nothing New (Taylor's Version) (From The Vault),Taylor Swift Featuring Phoebe Bridgers
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
I Knew You Were Trouble (Taylor's Version),Taylor Swift
Run (Taylor's Version) (From The Vault),Taylor Swift Featuring Ed Sheeran
Bad Man (Smooth Criminal),Polo G
Better Man (Taylor's Version) (From The Vault),Taylor Swift
22 (Taylor's Version),Taylor Swift
Doin' This,Luke Combs
Treacherous (Taylor's Version),Taylor Swift
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift
I Almost Do (Taylor's Version),Taylor Swift
The Very First Night (Taylor's Version) (From The Vault),Taylor Swift
Everything Has Changed (Taylor's Version),Taylor Swift Featuring Ed Sheeran
The Last Time (Taylor's Version),Taylor Swift Featuring Gary Lightbody Of Snow Patrol
Stay Stay Stay (Taylor's Version),Taylor Swift
After Last Night,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins
Babe (Taylor's Version) (From The Vault),Taylor Swift
Blast Off,Silk Sonic (Bruno Mars & Anderson .Paak)
Holy Ground (Taylor's Version),Taylor Swift
Begin Again (Taylor's Version),Taylor Swift
Put On A Smile,Silk Sonic (Bruno Mars & Anderson .Paak)
Forever Winter (Taylor's Version) (From The Vault),Taylor Swift
Fly As Me,Silk Sonic (Bruno Mars & Anderson .Paak)
The Moment I Knew (Taylor's Version),Taylor Swift
The Lucky One (Taylor's Version),Taylor Swift
Sad Beautiful Tragic (Taylor's Version),Taylor Swift
Come Back...Be Here (Taylor's Version),Taylor Swift
Starlight (Taylor's Version),Taylor Swift
La Fama,Rosalia Featuring The Weeknd
Oh My God,Adele
I Drink Wine,Adele
My Little Love,Adele
Can I Get It,Adele
To Be Loved,Adele
Strangers By Nature,Adele
Cry Your Heart Out,Adele
Hold On,Adele
abcdefu,GAYLE
All Night Parking (Interlude),Adele With Erroll Garner
Woman Like Me,Adele
Love Is A Game,Adele
God's Country,State Of Mine & Drew Jacobs
Enemy,Imagine Dragons X JID
Heart On Fire,Eric Church
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra
By Your Side,Rod Wave
Pick Out A Christmas Tree,Dan + Shay
Christmas Tree Farm (Old Timey Version),Taylor Swift
Always Been You,Jessie Murph
I Hate U,SZA
Wandered To LA.,Juice WRLD & Justin Bieber
Don't Play,Polo G Featuring Lil Baby
Merry Christmas,Ed Sheeran & Elton John
Me Or Sum,"Nardo Wick, Lil Baby & Future"
Young N Dumb,Polo G
Start Up Again,Polo G Featuring Moneybagg Yo
I'll Be Home For Christmas,Camila Cabello
Mercedes,Brent Faiyaz
Partin Ways,Polo G
Girl Of My Dreams,Juice WRLD & SUGA
Burn,Juice WRLD
Mistletoe,Justin Bieber
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
Feline,"Juice WRLD, Polo G & Trippie Redd"
Rockstar In His Prime,Juice WRLD
You Wouldn't Understand,Juice WRLD
Doom,Juice WRLD
Go Hard,Juice WRLD
Not Enough,Juice WRLD
Man In The Mirror,A Boogie Wit da Hoodie
From My Window,Juice WRLD
Relocate,Juice WRLD
Feel Alone,Juice WRLD
Broadway Girls,Lil Durk Featuring Morgan Wallen
Linus And Lucy (Peanuts Theme),Vince Guaraldi Trio
Christmastime Is Here,Vince Guaraldi Trio
25 Million,Roddy Ricch
Christmas Isn't Canceled (Just You),Kelly Clarkson
Moved To Miami,Roddy Ricch Featuring Lil Baby
Hibachi,Roddy Ricch Featuring Kodak Black & 21 Savage
Thailand,Roddy Ricch
Do It To It,Acraze Featuring Cherish
,
,
,
,
,
,
,
,
,
,
,
,
